source,target,count
Luke Skywalker,R2-D2,34
Luke Skywalker,ZEV,1
Luke Skywalker,Wedge Antilles,4
Luke Skywalker,Obi-Wan Kenobi,22
Luke Skywalker,Yoda,6
Luke Skywalker,Rey,1
Luke Skywalker,Owen Lars,3
Luke Skywalker,Mon Mothma,1
Luke Skywalker,RED LEADER,3
Luke Skywalker,RED TEN,1
C-3PO,Padmé Amidala,12
C-3PO,Watto,1
C-3PO,Finn,1
C-3PO,Darth Vader,1
C-3PO,Gregar Typho,2
C-3PO,Yoda,1
C-3PO,Chewbacca,39
C-3PO,Palpatine,2
C-3PO,Han Solo,54
C-3PO,Owen Lars,4
C-3PO,RED LEADER,1
C-3PO,Luke Skywalker,29
C-3PO,DERLIN,1
C-3PO,CAPTAIN ANTILLES,1
C-3PO,LANDO,8
C-3PO,Jabba Desilijic Tiure,3
C-3PO,Obi-Wan Kenobi,9
C-3PO,Kit Fisto,1
C-3PO,R2-D2,55
C-3PO,Leia Organa,49
C-3PO,Mon Mothma,1
C-3PO,Cliegg Lars,1
C-3PO,RIEEKAN,1
C-3PO,Poe Dameron,2
C-3PO,Qui-Gon Jinn,1
C-3PO,SNAP,1
R2-D2,Yoda,5
R2-D2,Watto,3
Darth Vader,Luke Skywalker,7
Darth Vader,JERJERROD,1
Darth Vader,Obi-Wan Kenobi,1
Darth Vader,OZZEL,2
Darth Vader,NEEDA,1
Darth Vader,Leia Organa,2
Darth Vader,Han Solo,2
Darth Vader,Palpatine,7
Darth Vader,PIETT,8
Darth Vader,TARKIN,7
Darth Vader,LANDO,4
Darth Vader,R2-D2,2
Darth Vader,MOTTI,1
Leia Organa,Mon Mothma,1
Leia Organa,R2-D2,23
Leia Organa,SNAP,1
Leia Organa,TARKIN,1
Leia Organa,RIEEKAN,4
Leia Organa,Poe Dameron,3
Leia Organa,Rey,1
Leia Organa,MOTTI,1
Leia Organa,Obi-Wan Kenobi,1
Leia Organa,RED LEADER,1
Leia Organa,Luke Skywalker,26
Owen Lars,Padmé Amidala,4
Owen Lars,R2-D2,2
Beru Whitesun lars,Owen Lars,4
Beru Whitesun lars,C-3PO,3
Beru Whitesun lars,Luke Skywalker,3
Beru Whitesun lars,Padmé Amidala,1
Beru Whitesun lars,Cliegg Lars,1
Beru Whitesun lars,Leia Organa,1
Beru Whitesun lars,R2-D2,1
Biggs Darklighter,Leia Organa,1
Biggs Darklighter,RED LEADER,3
Biggs Darklighter,Luke Skywalker,4
Biggs Darklighter,GOLD LEADER,1
Biggs Darklighter,C-3PO,1
Biggs Darklighter,Wedge Antilles,2
Biggs Darklighter,R2-D2,1
Biggs Darklighter,CAMIE,2
Obi-Wan Kenobi,TC-14,1
Obi-Wan Kenobi,R2-D2,28
Obi-Wan Kenobi,Poggle the Lesser,1
Obi-Wan Kenobi,Yoda,20
Obi-Wan Kenobi,PK-4,1
Obi-Wan Kenobi,Tion Medon,1
