source_id,target_id,count
Luke Skywalker,Mon Mothma,1
Luke Skywalker,RED TEN,2
Luke Skywalker,SNAP,2
Luke Skywalker,Wedge Antilles,14
Luke Skywalker,Rey,9
Luke Skywalker,Obi-Wan Kenobi,53
Luke Skywalker,Yoda,11
Luke Skywalker,PIETT,1
Luke Skywalker,Poe Dameron,3
Luke Skywalker,Owen Lars,10
Luke Skywalker,Mas Amedda,1
Luke Skywalker,UNKAR PLUTT,3
Luke Skywalker,RIEEKAN,2
Luke Skywalker,Padmé Amidala,1
Luke Skywalker,RED LEADER,11
Luke Skywalker,R2-D2,74
Luke Skywalker,ZEV,2
Luke Skywalker,SNOKE,2
C-3PO,Obi-Wan Kenobi,29
C-3PO,DERLIN,1
C-3PO,CAPTAIN ANTILLES,2
C-3PO,Palpatine,5
C-3PO,Chewbacca,75
C-3PO,Mas Amedda,1
C-3PO,Qui-Gon Jinn,2
C-3PO,Jar Jar Binks,3
C-3PO,RIEEKAN,2
C-3PO,Wedge Antilles,5
C-3PO,SNAP,2
C-3PO,Owen Lars,7
C-3PO,Padmé Amidala,29
C-3PO,DODONNA,5
C-3PO,Luke Skywalker,71
C-3PO,Dooku,5
C-3PO,Cliegg Lars,2
C-3PO,Shmi Skywalker,3
C-3PO,SEBULBA,1
C-3PO,Rey,2
C-3PO,Darth Vader,4
C-3PO,Grievous,2
C-3PO,RED LEADER,4
C-3PO,Mon Mothma,2
C-3PO,Poe Dameron,5
C-3PO,LOR SAN TEKKA,1
C-3PO,Finn,2
C-3PO,Han Solo,74
C-3PO,LANDO,24
C-3PO,GIDDEAN DANU,1
C-3PO,Gregar Typho,3
C-3PO,R2-D2,106
C-3PO,Leia Organa,92
C-3PO,Mace Windu,3
C-3PO,GOLD LEADER,1
C-3PO,Yoda,3
C-3PO,Kit Fisto,2
C-3PO,FANG ZAR,1
C-3PO,Watto,1
C-3PO,Jabba Desilijic Tiure,13
R2-D2,SNAP,1
R2-D2,RABE,4
R2-D2,Yoda,11
R2-D2,Watto,7
R2-D2,UNKAR PLUTT,1
R2-D2,SEBULBA,5
R2-D2,RED LEADER,2
R2-D2,Shmi Skywalker,8
R2-D2,Rey,3
R2-D2,WALD,1
R2-D2,Ric Olié,2
R2-D2,SIO BIBBLE,2
R2-D2,Wedge Antilles,3
R2-D2,RIEEKAN,1
Darth Vader,Nute Gunray,2
Darth Vader,SNOKE,2
Darth Vader,Obi-Wan Kenobi,19
Darth Vader,Grievous,1
Darth Vader,MOTTI,2
Darth Vader,LANDO,7
Darth Vader,KYLO REN,2
Darth Vader,Leia Organa,18
Darth Vader,OZZEL,2
Darth Vader,RED TEN,3
Darth Vader,Luke Skywalker,43
Darth Vader,RED LEADER,2
Darth Vader,Yoda,7
Darth Vader,Mace Windu,1
Darth Vader,Owen Lars,1
Darth Vader,PIETT,9
Darth Vader,NEEDA,4
Darth Vader,GOLD LEADER,1
Darth Vader,TARKIN,11
Darth Vader,Padmé Amidala,4
Darth Vader,JERJERROD,2
Darth Vader,Palpatine,34
Darth Vader,Wedge Antilles,1
Darth Vader,SNAP,3
Darth Vader,R2-D2,6
Darth Vader,Rey,1
Darth Vader,Han Solo,14
Darth Vader,Jabba Desilijic Tiure,1
Leia Organa,Padmé Amidala,1
Leia Organa,Owen Lars,1
Leia Organa,R2-D2,45
Leia Organa,RED TEN,1
Leia Organa,Yoda,4
Leia Organa,LOR SAN TEKKA,1
Leia Organa,Obi-Wan Kenobi,12
Leia Organa,Luke Skywalker,75
Leia Organa,Mas Amedda,2
Leia Organa,RED LEADER,7
Leia Organa,RIEEKAN,6
Leia Organa,Wedge Antilles,7
Leia Organa,SNAP,3
Leia Organa,Mon Mothma,1
Leia Organa,TARKIN,2
Leia Organa,SNOKE,2
Leia Organa,Poe Dameron,6
Leia Organa,MOTTI,1
Leia Organa,Rey,5
Owen Lars,Shmi Skywalker,1
Owen Lars,Padmé Amidala,5
Owen Lars,R2-D2,4
Owen Lars,Yoda,1
Beru Whitesun lars,Padmé Amidala,4
Beru Whitesun lars,R2-D2,3
Beru Whitesun lars,Leia Organa,1
Beru Whitesun lars,Shmi Skywalker,1
Beru Whitesun lars,Owen Lars,9
Beru Whitesun lars,Luke Skywalker,5
Beru Whitesun lars,CAPTAIN ANTILLES,1
Beru Whitesun lars,SNAP,1
Beru Whitesun lars,C-3PO,5
Beru Whitesun lars,Obi-Wan Kenobi,3
